State_Name,Crop_Year,Season,Crop,Rainfall,Area,Fertilizer_Name,Fertilizer_Used,Produce,Humidity,Temperature
Andhra Pradesh,2018,Kharif,Rice,122.50967970040024,28.227902518542805,Potash,50.99732125495013,463.24815292450256,11.82738317573519,12.608164978882485
Andhra Pradesh,2016,Rabi,Maize,184.32571587543322,24.03342844568322,Potash,54.81491112566732,552.9454217535405,22.0776850916883,22.585594628849762
Tamil Nadu,2017,Zaid,Cotton,828.487411010044,1.6433772081280407,NPK,27.824521090284623,1406.6028633568378,37.0823376173297,38.716392166203434
Andhra Pradesh,2014,Kharif,Maize,441.93457057360365,36.538958667978214,NPK,64.60575828996754,970.2344196152212,17.96773860587788,13.744784885596282
Andhra Pradesh,2000,Kharif,Wheat,596.8365681459043,83.11106176104649,Urea,145.41219996168675,1469.0302353863983,8.653714266185334,11.374731509669866
Tamil Nadu,2016,Kharif,Wheat,986.6993685946819,85.67645438049955,Potash,154.043339031848,2076.3014506518557,13.432329916957759,14.879622914682544
Tamil Nadu,2020,Kharif,Rice,731.6382821126962,68.67121888813006,Urea,106.75239255095829,1557.488908079938,21.567284623376253,23.867806355533475
Karnataka,2004,Kharif,Wheat,716.1528258908871,84.44234009879115,DAP,148.81274794284835,1643.4527142990567,15.142054715134346,18.032226279271082
Tamil Nadu,2021,Zaid,Wheat,291.3638896487265,50.423894689735455,NPK,103.00591284831968,845.6429781987136,32.7394423594211,32.349669462748196
Maharashtra,2005,Zaid,Wheat,908.0405952422293,40.54065000889933,Urea,70.65896506138576,1690.966658591668,7.509982566248628,11.413491262742037
Karnataka,2007,Zaid,Wheat,812.8714279266677,42.79383671316872,NPK,66.44115498069253,1558.1556611578126,42.74014835075353,39.13235132840855
Andhra Pradesh,2013,Zaid,Wheat,712.2550692308666,12.340622555384979,NPK,46.42418788477967,1300.0438378119566,15.38658140286948,18.805003859422783
Andhra Pradesh,2020,Zaid,Cotton,958.4343347689721,87.70944109744121,Potash,140.20537468319495,2007.350329512855,34.10000500958934,36.11555709510301
Karnataka,2010,Kharif,Wheat,237.55534169467134,76.48856920743998,Potash,132.76797807778192,880.3099906372977,14.919449133998516,19.724681710140192
Tamil Nadu,2008,Zaid,Maize,890.8496900408658,83.33488740675676,Urea,132.70986657928327,1893.2384287009093,12.429508195202501,12.569603562036363
Andhra Pradesh,2002,Rabi,Wheat,980.1860443096008,53.73791078342205,DAP,86.05267512296271,1864.0398728573575,26.896152797373908,25.830213622547618
Karnataka,2002,Rabi,Wheat,936.0221437019592,75.77125446694474,DAP,135.72778789540175,1940.5914891721675,25.19875592230827,21.202615075878814
Maharashtra,2017,Kharif,Cotton,208.90377628143915,23.24503636612418,NPK,46.113579443748634,556.3278777976265,13.440822152971965,12.129792580270976
Karnataka,2009,Kharif,Rice,160.66029529927675,4.109882847248795,Urea,16.8180310532506,391.8046471966395,28.410543600652346,26.17701794184264
Maharashtra,2014,Zaid,Maize,318.69751815615206,47.824321351514776,NPK,82.51284989282372,851.4198244644685,25.971435765188172,22.33306828149214
Andhra Pradesh,2011,Kharif,Cotton,706.0280925639714,98.43235592523065,Potash,151.01575856176413,1673.452994946163,14.361779102016683,17.45969001760857
Maharashtra,2016,Kharif,Cotton,226.16406738529702,19.165315542936092,Potash,45.03661706838509,578.4010732971778,31.658094056067185,35.67900677405118
Andhra Pradesh,2010,Kharif,Rice,972.0966315562762,92.71033131780463,Potash,163.0092288277414,2077.5748939952546,17.617562776205368,22.03120877648358
Maharashtra,2017,Zaid,Wheat,101.93984051628378,39.6517540011935,NPK,88.77230191898153,521.985483602982,34.74877480730685,31.91515952246398
Maharashtra,2003,Rabi,Maize,239.3171427466577,30.374074723961858,Potash,75.04958512412968,686.6755952424697,12.556734131814206,11.714958187224493
Karnataka,2015,Rabi,Rice,151.19162175581607,51.27502120234843,Urea,100.44407228202112,641.6723205826515,26.529227811839217,22.113266539548324
Karnataka,2015,Kharif,Cotton,621.0271517564896,4.934424566617375,Potash,11.566021431640065,1075.2655711785615,19.52023061580728,17.822970868108985
Tamil Nadu,2021,Zaid,Wheat,314.8173573542614,40.18279883233419,NPK,79.75320011333427,825.6186592530228,11.75914866098058,12.176293434794719
Andhra Pradesh,2003,Rabi,Rice,165.9346489896697,22.102276914437,DAP,44.01052428938568,505.0295921347147,17.663280985738837,21.085812662166518
Tamil Nadu,2000,Rabi,Rice,650.5099891533551,98.73607329951892,DAP,165.60853869865042,1618.701451036103,34.29096148825336,29.90166144898232
Karnataka,2021,Zaid,Rice,338.0193293384149,89.08155799356521,Urea,154.42966037467176,1098.9372196380689,22.161379921811065,20.28640863379776
Tamil Nadu,2017,Rabi,Wheat,554.8681522881884,25.861003954919518,Potash,63.882112741030525,1131.242949874404,9.658168240022384,11.322602853971501
Karnataka,2004,Rabi,Maize,673.4020395712416,26.93357098100047,Potash,63.15445491922266,1294.339460436144,16.08837973521444,12.25731580221301
Karnataka,2000,Zaid,Maize,591.0312602849701,83.62490696871565,Potash,141.5706068091149,1440.9734760213005,39.93066771115811,36.969444662277695
Andhra Pradesh,2000,Rabi,Rice,909.0321728738271,21.797577295635648,Potash,38.94669648927721,1607.500571030403,23.397936796470635,22.191321694963506
Karnataka,2010,Zaid,Maize,933.1874403126009,24.43699589070651,Urea,43.86748023150697,1642.730314423441,19.625692854961667,15.380819902546211
Maharashtra,2001,Rabi,Rice,822.011625043425,86.54233880915267,Potash,153.15926694235864,1823.3527011012368,39.7509360005605,36.16500348718269
Karnataka,2008,Rabi,Rice,279.6155470231767,91.92673822172002,DAP,150.63288354636947,1018.4562628169762,28.785655268106705,29.80099548245887
Tamil Nadu,2011,Zaid,Cotton,877.9176478272577,96.72202130078776,NPK,154.88506543315404,1938.303066282145,30.478843377608815,26.086471974361658
Andhra Pradesh,2012,Zaid,Rice,889.3345704180042,26.86030444263081,Potash,60.54531180678418,1615.8355149109514,23.23489513243083,20.37061335039401
Maharashtra,2022,Rabi,Rice,645.587967975529,51.630882907278334,Potash,89.99993214539758,1363.5961989182365,14.306490001549712,10.050738346558884
Karnataka,2018,Kharif,Maize,427.7993246031378,7.927407301504708,Urea,31.305003994896943,835.0927733659803,29.59585057253115,31.592627890418505
Tamil Nadu,2020,Zaid,Wheat,700.2036136951567,33.292107580882586,NPK,71.42926777129541,1370.0997141551352,23.855703915265153,21.374358313676254
Karnataka,2006,Kharif,Maize,653.9634243562425,30.794037581990967,DAP,60.58326525240814,1271.9517702060434,28.946599672901176,27.39954343587046
Maharashtra,2016,Rabi,Wheat,497.60741515415765,67.88709608581989,DAP,119.12336703362286,1243.3689507144709,27.60338639988293,29.765522349952654
Tamil Nadu,2017,Kharif,Rice,184.0484800680064,95.24796658279504,Potash,149.735236552941,877.8478792258123,16.225771770601266,11.386411542782753
Andhra Pradesh,2005,Rabi,Rice,509.8745515420802,88.72755399604718,NPK,151.87751665443594,1355.276438568126,16.30336448354414,14.427140352738945
Andhra Pradesh,2015,Kharif,Maize,800.5783660905926,22.665272544419622,Urea,59.296653527691774,1477.6207364592262,33.73768642555705,37.52410043366321
Karnataka,2018,Kharif,Wheat,821.2749415500381,67.09019552604896,Potash,130.76143602034753,1752.737658431654,30.572309295612556,28.379569682852885
Maharashtra,2014,Kharif,Rice,847.5122527492736,55.23932311047201,NPK,111.09629687027054,1712.4476088647164,18.79380649305135,17.417192125289787
Maharashtra,2021,Kharif,Cotton,664.0735932836031,28.18514724483629,NPK,44.45337888364754,1247.7588123148867,22.58830729071525,26.204566675553693
Karnataka,2009,Rabi,Rice,444.73176318820435,16.12772139113765,Potash,30.9705550022712,870.7462829849628,15.196883010912437,11.86797131750756
Maharashtra,2005,Kharif,Wheat,914.3546305061592,58.82386200621829,NPK,111.1896197792882,1826.2485434059386,8.69447053423804,10.176882507519792
Maharashtra,2016,Zaid,Wheat,868.1031555121941,95.38960350854052,Potash,157.47360080396587,1922.62191537343,13.810377175928927,16.616160829714566
Maharashtra,2012,Kharif,Cotton,537.0777944186503,39.49686312136668,Potash,81.13334130221556,1167.847406085488,42.39346839525851,37.58624862006928
Andhra Pradesh,2014,Rabi,Wheat,916.2359763280915,59.59738478716318,NPK,107.54280743980345,1825.566310824914,13.053433934596011,15.451870795402964
Tamil Nadu,2015,Kharif,Wheat,290.49425579033334,33.35773468324955,Urea,72.5078946316218,768.7316539458935,13.387208281087844,17.56814595347142
Andhra Pradesh,2019,Rabi,Wheat,774.1218349745657,6.156475216082292,NPK,36.461494731797885,1359.3072519560458,6.518044115030118,11.207744126222996
Karnataka,2018,Zaid,Wheat,279.4246141262796,3.0176217147129023,Urea,8.076625474199306,557.3268419654927,18.533585939656618,16.53893622719511
Tamil Nadu,2022,Rabi,Maize,251.01022903102205,61.11750189520224,NPK,112.43876110640115,847.8881987599175,8.499746744702856,13.242962489728196
Tamil Nadu,2014,Zaid,Rice,618.2170555711728,90.89458895369701,NPK,150.4331382465863,1519.3374523324494,32.345642818780874,34.917149013409556
Tamil Nadu,2020,Kharif,Rice,865.2639151799167,60.44074986686757,DAP,97.59094344482685,1728.4068460683059,21.5570491592229,22.851340397042335
Tamil Nadu,2003,Kharif,Wheat,111.38693514926777,42.58581534334093,NPK,78.76218946636249,526.0828581428111,20.32209191899099,23.79218042805239
Karnataka,2010,Rabi,Rice,760.4157736120527,96.5818993925697,Potash,155.24623467812293,1757.1049847144361,25.37749693316805,23.067234790116828
Tamil Nadu,2001,Rabi,Wheat,390.07412468300635,25.304021740275395,NPK,64.95470833618144,881.1478214077348,28.777374044804603,27.095489340349665
Tamil Nadu,2010,Rabi,Wheat,125.82999799308062,85.24433079493345,Potash,132.70045130087192,739.2071291811174,38.421436896068776,36.40959939274676
